"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"10/07/2023","459.825.984","456.628.992","466.859.008","454.000.000","0,03K","0,70%"
"09/07/2023","456.628.992","457.384.992","458.999.008","455.817.984","0,01K","-0,17%"
"08/07/2023","457.384.992","459.408.992","459.580.000","456.200.000","0,01K","-0,44%"
"07/07/2023","459.408.992","455.222.016","460.000.000","453.000.000","0,01K","1,00%"
"06/07/2023","454.872.000","458.176.992","470.553.984","453.000.000","0,04K","-0,72%"
"05/07/2023","458.176.992","461.328.992","463.105.984","454.608.992","0,03K","-0,68%"
"04/07/2023","461.328.992","465.924.992","468.233.984","460.400.992","0,02K","-0,99%"
"03/07/2023","465.924.992","460.000.000","468.644.000","459.417.984","0,03K","1,29%"
"02/07/2023","460.000.000","458.950.016","461.958.016","455.099.008","0,01K","0,23%"
"01/07/2023","458.950.016","459.832.000","460.000.000","457.000.000","0,01K","-0,19%"
"30/06/2023","459.832.000","457.999.008","467.984.000","448.416.000","0,04K","0,40%"
"29/06/2023","457.999.008","453.892.992","462.003.008","453.048.992","0,02K","0,90%"
"28/06/2023","453.892.992","458.443.008","461.012.000","451.487.008","0,02K","-0,99%"
"27/06/2023","458.443.008","453.168.000","462.659.008","453.142.016","0,02K","1,16%"
"26/06/2023","453.168.000","455.575.008","458.310.016","450.103.008","0,03K","-0,53%"
"25/06/2023","455.575.008","457.276.992","463.512.000","455.000.000","0,02K","-0,37%"
"24/06/2023","457.276.992","457.678.016","460.000.000","454.900.000","0,02K","-0,09%"
"23/06/2023","457.678.016","445.996.992","467.252.992","445.667.008","0,06K","2,62%"
"22/06/2023","445.996.992","443.777.984","449.574.016","440.780.000","0,05K","0,50%"
"21/06/2023","443.776.992","420.940.000","453.659.008","420.000.000","0,12K","5,43%"
"20/06/2023","420.940.000","400.640.992","421.344.992","400.009.984","0,05K","5,07%"
"19/06/2023","400.640.992","394.000.992","402.308.000","393.884.000","0,02K","1,69%"
"18/06/2023","394.000.992","395.299.008","396.566.016","394.000.000","0,01K","-0,33%"
